Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,16-10-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.02043979,49.03488834,49.034392,49.01321011,48.98735731,48.97571351,48.96017469,48.96113293,48.95421142,48.93588041,48.90468935,48.85434541,48.80616217,48.72667508,48.67744973,48.645574,48.6498531,48.66481132,48.69887857,48.72773961,48.73953775,48.73928766,48.72108378,48.69561024,48.71231656,48.74650927,48.82911645,48.94078075,49.07649987,49.21763636,49.32906423,49.40810547,49.46512309,49.47513622,49.4322404,49.32025298,49.16537477,48.95962551,48.71791934,48.47936725,48.25457267,48.0590363,47.88403234,47.73439433,47.62618488,47.56068301,47.54041456,47.55695177,47.60462501,47.64814888,47.6712733,47.67074963,47.64783308,47.60820046,47.57169288,47.53447896,47.50965527,47.48721064,47.46896434
Afghanistan,AFG,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,51.67933816,51.58731111,51.50061349,51.41912566,51.34286364,51.27161467,51.20593543,51.1457282,51.0898308,51.03683095,50.9862217,50.93788043,50.89290152,50.85359498,50.82255159,50.80140031,50.78949831,50.78577701,50.79021009,50.8028821,50.82374125,50.85706993,50.90365874,50.9558188,51.00054849,51.02852154,51.02615613,50.99863519,50.97835188,51.01027705,51.11551749,51.29456946,51.50716131,51.69748545,51.82040262,51.86241674,51.82338569,51.72379929,51.59788568,51.49307315,51.44143465,51.45442734,51.51197919,51.58017203,51.61922811,51.60810242,51.54112702,51.43428497,51.31513168,51.22082891,51.1752424,51.184217,51.23288835,51.29992967,51.35867569,51.39295063,51.40033239,51.38838428,51.3641533
Angola,AGO,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50.66437052,50.75874058,50.71019387,50.5939295,50.51281211,50.53482557,50.68379059,50.92949029,51.21616995,51.45714801,51.58937654,51.59265529,51.49810852,51.34809369,51.19215202,51.06174635,50.95984576,50.87548231,50.8034765,50.73502156,50.66481324,50.59349305,50.52442509,50.45856411,50.39678103,50.33956559,50.28673133,50.23766877,50.19171849,50.14802549,50.10595959,50.06525075,50.02595723,49.98760998,49.95003981,49.91297726,49.87621454,49.83974794,49.80431131,49.77071092,49.73944338,49.71132295,49.68580006,49.660643,49.63313523,49.60207072,49.56688381,49.52959432,49.49442367,49.46643852,49.44834245,49.44053548,49.44077219,49.44613628,49.45289978,49.45867184,49.46299351,49.46652335,49.46953707
Albania,ALB,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,51.40667603,51.40261198,51.39637734,51.38869109,51.38234013,51.37853837,51.37696397,51.377891,51.37911414,51.37826719,51.37382922,51.36523436,51.35422425,51.34233251,51.33297892,51.32794551,51.32773843,51.33091276,51.33556069,51.33917867,51.33967794,51.33144904,51.31395227,51.29624689,51.28998513,51.2998578,51.34151786,51.40401652,51.43896916,51.38544215,51.20879957,50.87564097,50.4070536,49.89215059,49.47325901,49.26257411,49.31785888,49.59637028,49.99484039,50.36474845,50.6034361,50.68145487,50.6347837,50.50777465,50.37101117,50.2776329,50.23540485,50.22730771,50.25235764,50.30393092,50.37494543,50.4697977,50.58905161,50.71547923,50.82662163,50.90620247,50.94700126,50.95360223,50.9369054
Andorra,AND,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50.41523018,50.41499266,50.41298796,50.40982665,50.40638534,50.4035014,50.40148428,50.40077249,50.40223142,50.40681556,50.41532449,50.42680572,50.44139314,50.4617898,50.49114403,50.53065129,50.58125655,50.63979505,50.69874968,50.74927816,50.78634076,50.8083702,50.8189695,50.82455746,50.83321702,50.84998079,50.87509489,50.90575954,50.93967324,50.97367985,51.00256294,51.0333094,51.01291411,51.04010227,51.05427039,51.09647183,51.07687984,51.04552324,51.01296297,50.99238797,50.99251612,51.01395307,51.05301112,51.10800582,51.17603494,51.25381092,51.34193071,51.43768309,51.53124345,51.61104925,51.67010517,51.70547263,51.72104923,51.72522054,51.72912675,51.73986892,51.75958796,51.78475685,51.80967177
United Arab Emirates,ARE,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50.06438209,51.74452634,53.85328957,55.88348118,57.50349514,58.67605352,59.4171735,59.94828236,60.63957945,61.81395647,63.41892952,65.12255688,66.63302797,67.86062718,68.78279713,69.42211766,69.89823271,70.23296485,70.32931258,70.10255948,69.5483209,68.67322876,67.58097416,66.46093433,65.54796479,64.98131631,64.77634601,64.83776604,65.05972707,65.31788122,65.53794306,65.72718089,65.91384252,66.09000361,66.24953092,66.39856172,66.56335007,66.76252292,66.99447678,67.25456831,67.55232099,67.78466368,67.98243862,68.37963852,69.19453657,70.38672061,71.83480083,73.23343783,74.28050496,74.80613507,74.80663738,74.31444035,73.43699646,72.33337189,71.25187021,70.39757329,69.8413787,69.51975113,69.36331205
Argentina,ARG,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50.44003742,50.38738989,50.33178679,50.27508135,50.21980646,50.16737634,50.11899824,50.07319678,50.02560399,49.97059013,49.90485149,49.8271898,49.74037824,49.64981307,49.56244535,49.48296349,49.41250952,49.34943206,49.29181032,49.23689473,49.18270128,49.12966855,49.07851659,49.02838827,48.97812655,48.92731681,48.8748806,48.82175264,48.7717634,48.7298533,48.69893136,48.6806978,48.67292865,48.67006438,48.66465157,48.65190727,48.62992156,48.60129884,48.57126679,48.54710332,48.53360096,48.53205487,48.54018032,48.55495186,48.57200346,48.58818278,48.60279019,48.61662557,48.62991936,48.64334683,48.65725782,48.67154913,48.68579205,48.69980909,48.71341449,48.72651723,48.73902567,48.75101005,48.76265155
Armenia,ARM,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,48.18269277,48.26417539,48.34443381,48.42239832,48.49613334,48.56433906,48.62831816,48.68679977,48.7368927,48.77430938,48.79704182,48.80516254,48.80093598,48.78792235,48.77043713,48.75181449,48.73056078,48.70724687,48.68802126,48.68025294,48.68791412,48.71242808,48.74831543,48.78552161,48.81036696,48.81279162,48.79363752,48.75538356,48.69252913,48.59788269,48.46615363,48.28957943,48.0690829,47.82176384,47.57861949,47.36862554,47.20547514,47.08751545,47.01171651,46.96641653,46.94166694,46.9400325,46.96322581,46.99635977,47.0206934,47.02270381,46.99373052,46.93752845,46.86999482,46.81540836,46.79193859,46.80588041,46.84961961,46.90993525,46.96808786,47.01094731,47.03490663,47.04452509,47.04342285
American Samoa,ASM,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
