Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,16-10-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,Age dependency ratio (% of working-age population),SP.POP.DPND,86.32411067,84.9906567,83.88004055,82.78096589,81.42257285,79.75556252,78.33086145,76.35711899,74.17218543,72.15642589,70.41664262,67.91909147,65.97786592,64.23041274,62.23431344,59.82978051,58.53154355,56.61581569,54.26056157,51.95196717,50.07116993,48.84252433,47.9761675,47.48310611,47.17758936,46.72564311,47.58864413,48.00019148,47.8982033,47.60211855,47.49970333,45.9361803,44.88183961,44.30379747,43.9429483,43.5382416,43.98698579,44.24544227,44.34300835,44.38081952,44.4243089,44.2515528,44.04731215,43.77148785,43.40052865,42.98926483,43.1487791,43.49182048,43.99693134,44.59282273,45.26840699,45.16821965,44.95498424,44.69926499,44.54813907,44.59272193,44.63906435,45.04033257,45.67362612
Afghanistan,AFG,Age dependency ratio (% of working-age population),SP.POP.DPND,81.61727673,82.68868503,83.28938659,83.60406479,83.85383659,84.13051616,85.3376013,86.3875875,87.28819498,88.00433796,88.5257787,89.77756286,90.71121808,91.37867189,91.80304083,91.94576152,92.98885748,93.8584035,94.51051392,94.81592217,94.60742703,95.76230668,96.72381685,97.51523695,98.2848543,99.26418084,100.0379923,100.3184509,100.4199363,100.8525109,102.1866962,101.8558297,101.5728911,101.4977094,101.3616658,100.7510433,101.779456,102.8217575,103.6507866,104.2758194,104.8563991,104.4761053,103.6711832,102.6632376,101.5623708,100.3491273,100.9709434,101.6001828,102.0786589,102.2490139,102.0458229,100.2244608,97.92594708,95.33874179,92.64914092,89.95409233,87.94179015,86.0007531,84.07765608
Angola,AGO,Age dependency ratio (% of working-age population),SP.POP.DPND,82.27889849,84.62407291,87.12944723,89.2560926,90.43938529,90.57314248,90.74840158,90.14254163,89.69884971,90.26557,92.01022905,92.46779845,93.65195067,94.98615251,95.68696707,95.48807729,96.6087298,96.31115396,95.35412809,94.72791483,94.8269753,95.48259424,96.77241329,98.29228468,99.39787146,99.80795405,100.7000506,100.9320593,100.7264786,100.4084703,100.1182294,100.5954371,100.8653289,100.9469754,100.8224147,100.4874022,100.6294854,100.5100534,100.1751709,99.67862638,99.07118578,99.039403,98.82303514,98.47794517,98.07343972,97.66899601,97.82605281,97.86664559,97.84078527,97.76681937,97.63771432,97.98829923,98.14544727,98.13047813,97.94220557,97.56923863,97.29458812,96.82022783,96.17574044
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,83.71052556,84.95448011,86.24139162,87.43450876,88.28750005,88.64741337,88.84575209,88.45907512,87.64598137,86.63365582,85.54684072,84.24801044,83.01880019,81.74230321,80.26114243,78.54562328,77.07658544,75.33606918,73.49834024,71.78705438,70.29962454,68.99512615,67.87362019,66.89034434,65.97989105,65.13035763,64.42528789,63.81734688,63.27509683,62.70436688,61.99490929,62.71540506,63.31197947,63.74301288,64.07723386,64.40525431,63.35169646,62.42452164,61.58218352,60.71301915,59.72358599,58.68645122,57.5428762,56.31671298,55.0733347,53.8499697,52.61953224,51.6043425,50.75273712,50.04407756,49.47790868,48.11805823,47.0330799,46.25665586,45.77467951,45.55040246,45.64503371,45.68209749,45.81003739
Andorra,AND,Age dependency ratio (% of working-age population),SP.POP.DPND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Age dependency ratio (% of working-age population),SP.POP.DPND,88.06110988,89.48951316,90.78245083,91.89894837,92.72800706,93.20128956,94.0875347,94.48592222,94.54461015,94.43425084,94.22666617,94.52320269,94.59166053,94.48228771,94.24714158,93.93769054,93.80399097,93.55993959,93.22482136,92.79263587,92.25751967,91.96565465,91.53506377,90.9953673,90.38313187,89.71912781,89.44383903,89.02855491,88.51706986,87.9145345,87.33205319,86.51017052,85.8304434,84.7042274,83.43262321,81.8208524,80.54492471,79.19866661,77.81701043,76.42277966,75.01733276,73.60575447,72.18209921,70.77012402,69.40035382,68.09882451,66.90232806,65.78430978,64.77850133,63.91383041,63.20162357,62.57232832,62.08932935,61.73076494,61.44652966,61.19530725,61.28361525,61.25395162,61.16547362
United Arab Emirates,ARE,Age dependency ratio (% of working-age population),SP.POP.DPND,92.29712859,87.19310627,81.92704615,76.96724557,72.45605487,68.40892745,64.7199341,61.71438913,59.41880969,57.78041903,56.82778729,50.72327574,46.33535979,43.59832758,42.29083338,42.12789673,40.64342312,39.94876655,40.18684689,41.00445827,41.96462264,43.37413824,44.82485086,46.42379094,48.11973013,49.75910971,50.06323618,49.90269017,49.41686625,48.65411286,47.63373522,45.95139306,44.29370001,42.67559038,41.10652247,39.64085595,38.91090284,38.15555521,37.68794835,37.47199956,37.24174081,33.21857732,29.86563514,27.22892921,25.2451913,23.80661858,20.98459049,18.95769573,17.63317861,16.75543959,16.0656854,16.50409467,16.80140137,17.08209918,17.41609222,17.7818275,18.16490433,18.39798117,18.60779642
Argentina,ARG,Age dependency ratio (% of working-age population),SP.POP.DPND,57.68394567,57.78575232,57.7469969,57.60993446,57.43793932,57.26819413,57.26144174,57.23200791,57.19765702,57.17832898,57.19398348,57.41133351,57.65943935,57.94451889,58.28114755,58.68443781,59.43645192,60.28565422,61.1720135,61.9938348,62.69089473,63.61090641,64.16986018,64.51311796,64.83713009,65.2200965,65.3309094,65.64228743,65.97352731,66.07650894,65.86059761,65.8681056,65.54673587,65.01800279,64.46804314,63.97960764,63.57040054,63.15465665,62.73488139,62.28345388,61.78829425,61.237169,60.73698839,60.25089231,59.73096857,59.16315789,58.74958595,58.22838082,57.66954641,57.17997848,56.81596915,56.54174813,56.37918796,56.2922668,56.21224041,56.10360435,56.10227058,56.04635544,55.95447291
Armenia,ARM,Age dependency ratio (% of working-age population),SP.POP.DPND,81.82780447,84.78679238,87.04574859,88.59709004,89.51048889,89.77532333,89.36304747,88.14766256,86.26636909,83.9716632,81.47130818,78.13178696,75.15617431,72.40096013,69.65234623,66.85538892,64.70093021,62.38680867,60.15273571,58.26931502,56.81276537,55.79049885,55.17438411,54.85904104,54.67538215,54.54856276,54.49416889,54.52170947,54.69898079,55.04716994,55.46283989,56.49954371,57.61916033,58.71495511,59.65156063,60.35602464,59.99677807,59.20127235,58.0990301,56.91792829,55.82842984,54.4144228,53.35870122,52.46030916,51.41256736,50.06332191,48.88219095,47.36233294,45.7750758,44.51103238,43.7908193,43.48168307,43.51390069,43.83938509,44.31489394,44.83817579,45.43115767,46.09426742,46.81532686
American Samoa,ASM,Age dependency ratio (% of working-age population),SP.POP.DPND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
